left_arm, l_arm_shz,l_arm_shx,l_arm_ely,l_arm_elx,l_arm_wry,l_arm_wrx,l_arm_wry2
indices, 16, 17, 18, 19, 20, 21, 22
Sides,       0.7,  -1.2,   2.0,   0.7,   0.0,   0.0      ,   0.0
Out,         0.0,   0.0,   0.0,   0.0,   0.0,   0.0      ,   0.0
FrontLeft,   0.0,   0.0,   1.57,  1.57,  1.57,  0.0      ,   0.0
FrontDown,   0.0,  -1.3,   2.11,  1.05,  2.77,  0.0      ,   0.0
FrontRight, -1.4,  -0.36,  2.14,  1.08,  1.57,  0.0      ,   0.0
FrontRoll,  -1.4,  -0.36,  2.14,  1.08,  0.08,  0.0      ,   0.0
Straight,   -1.49, -0.49,  2.0,   0.1,   1.57,  0.0      ,   0.0
Ready,       0.78, -0.8,   2.0,   2.0,   0.0,   0.6      ,   0.0
Ready2,      0.78, -1.2,   2.0,   2.3,   1.57,  0.0      ,   0.0
Ready3,      0.67, -0.31,  1.48,  2.3,   0.30,  0.87     ,   0.0
Set,         0.0,  -0.8,   1.7,   2.0,   0.0,   0.8      ,   0.0
View Hand,  -1.16, -0.47,  2.0,   1.0,  -0.4,   1.07     ,   0.0
deb_stand_0,    0.74, -1.07, 2.27,   1.81,  2.79,  0.66  ,   0.0
deb_stand_1,   -0.39, -1.31,  2.06,  0.46,  2.27,  0.37  ,   0.0
deb_slump_0, -0.24114000818881498, -1.4442438236451274, 1.3723490233010114, 1.885190030748637, 3.067853170462692, 1.1082124400974522         ,   0.0
deb_slump_45deg_right, -0.6633275511981843, -0.62584788911475, 2.2769007498540064, 1.8537982994929552, 3.092559004262961, 0.5701996296048099 ,   0.0
deb_front_push, -1.2670073612358397, -1.1215359389005473, 1.8264248754320078, 0.710414414995206, 0.7071034674928478, -0.677694996558187      ,   0.0
deb_remove_start, 0.40773024064044716, -1.3205661725439637, 1.8739275553943289, 2.001988370840838, 2.978811522836927, -0.7019423268052664    ,   0.0
deb_remove_mid, -0.43366858229548894, -1.29839289894071, 0.3287968606814695, 1.8773544987236457, 2.601243626014165, 0.06549743394648311      ,   0.0
deb_remove_far, -0.290529234295461, -0.7860009496755869, 0.2794217919705224, 0.918024398565383, 2.2698657048512803, -0.3036311794785603      ,   0.0
