right_arm, r_arm_shz,r_arm_shx,r_arm_ely,r_arm_elx,r_arm_wry,r_arm_wrx,r_arm_wry2
indices, 23, 24, 25, 26, 27, 28, 29
Sides,      0.7,   1.2,   2.0,  -0.7,   0.0,    0.0   ,   0.0
Out,        0.0,   0.0,   0.0,   0.0,   0.0,    0.0   ,   0.0
FrontRight, 0.0,   0.0,   1.57, -1.57,  1.57,    0.0  ,   0.0
FrontDown,  0.0,   1.3,   2.11, -1.05,  2.77,   0.0   ,   0.0
FrontLeft, -1.4,   0.36,  2.14, -1.08,  1.57,   0.0   ,   0.0
Straight,  -1.49,  0.49,  2.0,  -0.1,   1.57,    0.0  ,   0.0
Ready,      0.78,   0.8,   2.0,  -2.0,   0.0,   -0.6  ,   0.0
Set,        0.0,   0.8,   1.7,  -2.0,   0.0,   -0.8   ,   0.0
High Sides, 0.0,   0.2,   3.0,  -2.10,  0.0,    0.8   ,   0.0
Back,       0.78,   0.8,   2.0,  -0.7,   1.40,  -0.5  ,   0.0
Pass,      -1.38,  0.28,  2.32, -1.15, -0.01,  -1.42  ,   0.0
deb_hook_pre_truss, -0.20553239922200708, 0.7163153651947828, 2.2542330390659275, -1.0509038273760787, 2.8266318461043296, 0.8946111293290955,   0.0
deb_pre_cart_truss, -1.134964314033782, 0.7897044251124092, 1.4722225289448567, -0.7841641249097344, 2.4251928659827975, -0.2364386365539029 ,   0.0
deb_post_cart_truss, -0.3379453512828845, 1.0444266323316749, 2.13507434839042, -0.8155519990933366, 2.4943880783195858, 0.5775184691213832  ,   0.0
