left_arm, l_arm_shz,l_arm_shx,l_arm_ely,l_arm_elx,l_arm_wry,l_arm_wrx,l_arm_wry2
indices, 16, 17, 18, 19, 20, 21, 22
Sides,       0.7,  -1.2,   2.0,   0.7,   0.0,   0.0   ,   0.0
Out,         0.0,   0.0,   0.0,   0.0,   0.0,   0.0   ,   0.0
Straight,   -1.49, -0.49,  2.0,   0.1,   1.57,  0.0   ,   0.0
FrontLeft,   0.0,   0.0,   1.57,  1.57,  1.57,  0.0   ,   0.0
Push_1,      0.17, -1.22,  2.04,  1.12,  2.78, -0.78  ,   0.0
Push_2,      0.39, -1.14,  2.03,  1.72,  2.81, -0.34  ,   0.0
Push_3,      0.31, -0.89,  1.95,  1.74,  2.55, -0.36  ,   0.0
Push_4,     -0.62, -0.83,  2.12,  1.19,  1.99, -0.02  ,   0.0
hook_in,     0.0,  -1.3,   2.11,  1.05,  2.77,  0.0   ,   0.0
hook_roll,   0.0,  -1.3,   2.11,  1.05,  1.57, -0.13  ,   0.0
hook_open,   0.0,  -1.3,   2.11,  1.05,  1.57,  0.30  ,   0.0
FrontRight, -1.4,  -0.36,  2.14,  1.08,  1.57,  0.0   ,   0.0
hook_in_up, -1.56, -0.48,  2.19,  0.88,  1.67, -0.12  ,   0.0
FrontRoll,  -1.4,  -0.36,  2.14,  1.08,  0.08,  0.0   ,   0.0
