right_arm, r_arm_shz,r_arm_shx,r_arm_ely,r_arm_elx,r_arm_wry,r_arm_wrx,r_arm_wry2
indices, 23, 24, 25, 26, 27, 28, 29
Sides,      0.7,   1.2,   2.0,  -0.7,   0.0,    0.0  ,   0.0
Out,        0.0,   0.0,   0.0,   0.0,   0.0,    0.0  ,   0.0
Straight,  -1.49,  0.49,  2.0,  -0.1,   1.57,   0.0  ,   0.0
FrontRight, 0.0,   0.0,   1.57, -1.57,  1.57,   0.0  ,   0.0
Pull_0,     0.23,  1.45,  1.84, -1.05,  0.14,   0.1  ,   0.0
Pull_1,    -0.43,  1.25,  1.59, -1.15,  0.05,   0.42 ,   0.0
pull_2,    -0.43,  1.37,  1.47, -1.63,  0.20,   0.90 ,   0.0
Pull_3,    -0.27,  1.45,  1.57, -1.60,  0.26,   0.37 ,   0.0
Pull_4,     0.25,  1.31,  1.97, -2.01,  0.20,   0.42 ,   0.0
Ready,      0.78,  0.8,   2.0,  -2.0,   0.0,   -0.6  ,   0.0
