left_arm, l_arm_shz,l_arm_shx,l_arm_ely,l_arm_elx,l_arm_wry,l_arm_wrx,l_arm_wry2
indices, 16, 17, 18, 19, 20, 21, 22
Sides,       0.7,  -1.2,   2.0,   0.7,   0.0,   0.0  ,   0.0
Out,         0.0,   0.0,   0.0,   0.0,   3.00,  0.0  ,   0.0
Straight,   -1.49, -0.49,  2.0,   0.1,   1.57,  0.0  ,   0.0
FrontLeft,   0.0,   0.0,   1.57,  1.57,  1.57,  0.0  ,   0.0
pre_hose,    0.34, -0.76,  2.36,  1.87,  0.00,  0.41 ,   0.0
hose,        0.07, -0.96,  2.25,  1.79,  0.04,  0.17 ,   0.0
post_hose,   0.76, -0.48,  2.26,  1.98,  0.01,  0.66 ,   0.0
touch_wye,  -0.61, -0.57,  2.29,  1.91,  0.45, -0.02 ,   0.0
pre_wye,    -1.00, -0.34,  2.21,  2.20,  0.02, -0.58 ,   0.0
wye,   -0.98, -0.40,  2.22,  1.85,  0.08, -0.26      ,   0.0
