left_arm,  l_arm_shz,l_arm_shx,l_arm_ely,l_arm_elx,l_arm_wry,l_arm_wrx,l_arm_wry2
indices, 16, 17, 18, 19, 20, 21, 22
cal_01,  0.73,  -0.97,   0.52,   0.21,  -0.59,   1.16,  0.09
cal_02,  0.15,  -0.97,   0.52,   0.21,  -0.59,   1.16,  0.09
cal_03, -0.55,  -0.97,   0.52,   0.21,  -0.59,   1.16,  0.09
cal_04, -1.10,  -0.40,   0.52,   0.21,  -0.59,   1.16,  0.09
cal_05, -0.52,  -0.40,   0.52,   0.21,  -0.59,   1.16,  0.09
cal_06, -0.01,  -0.40,   0.52,   0.21,  -0.59,   1.16,  0.09
cal_07,  0.70,  -0.40,   0.52,   0.21,  -0.59,   1.16,  0.09
cal_08,  0.70,   0.32,   0.52,   0.21,  -0.59,   1.18,  0.09
cal_09,  0.23,   0.32,   0.52,   0.21,  -0.59,   1.18,  0.09
cal_10, -0.41,   0.32,   0.52,   0.21,  -0.59,   1.18,  0.09
cal_11, -1.09,   0.32,   0.52,   0.21,  -0.59,   1.18,  0.09
cal_12, -1.18,   0.97,   0.52,   0.21,  -0.59,   1.19,  0.09
cal_13, -0.18,   0.80,   0.52,   0.39,  -0.59,   0.77,  0.09
cal_14,  0.79,   0.61,   0.52,   0.39,  -0.59,   0.77,  0.09
