left_arm, l_arm_shz,l_arm_shx,l_arm_ely,l_arm_elx,l_arm_wry,l_arm_wrx,l_arm_wry2
indices, 16, 17, 18, 19, 20, 21, 22
Sides,       0.7,  -1.2,   2.0,   0.7,   0.0,   0.0   ,   0.0
Out,         0.0,   0.0,   0.0,   0.0,   0.0,   0.0   ,   0.0
FrontLeft,   0.0,   0.0,   1.57,  1.57,  1.57,  0.0   ,   0.0
FrontDown,   0.0,  -1.3,   2.11,  1.05,  2.77,  0.0   ,   0.0
FrontRight, -1.4,  -0.36,  2.14,  1.08,  1.57,  0.0   ,   0.0
FrontRoll,  -1.4,  -0.36,  2.14,  1.08,  0.08,  0.0   ,   0.0
Straight,   -1.49, -0.49,  2.0,   0.1,   1.57,  0.0   ,   0.0
Ready,       0.78, -0.8,   2.0,   2.0,   0.0,   0.6   ,   0.0
Ready2,      0.78, -1.2,   2.0,   2.3,   1.57,  0.0   ,   0.0
Ready3,      0.67, -0.31,  1.48,  2.3,   0.30,  0.87  ,   0.0
Set,         0.0,  -0.8,   1.7,   2.0,   0.0,   0.8   ,   0.0
ladd_1,      0.19, -0.52,  2.24,  2.05,  2.50, -1.10  ,   0.0
ladd_2,     -0.64, -0.03,  1.56,  1.95,  0.33, -0.66  ,   0.0
ladd_3,     -1.51, -0.34,  1.04,  0.39,  2.61, -0.12  ,   0.0
ladd_4,     -1.44, -0.55,  0.56,  0.82,  2.96,  0.53  ,   0.0
