right_arm, r_arm_shz,r_arm_shx,r_arm_ely,r_arm_elx,r_arm_wry,r_arm_wrx,r_arm_wry2
indices, 23, 24, 25, 26, 27, 28, 29
View Hand, -1.16,  0.47,  2.0,  -1.0,  -0.41,  -1.07                 ,   0.0
View Feet, -0.49,  1.10,  3.14, -0.30,  0.13,   0.44                 ,   0.0
View Feet2, 0.79,  0.75,  1.48,  -2.23,  1.63,  -0.24                ,   0.0
View Left, -0.16,  1.25,  2.14, -0.25,  0.98,   0.44                 ,   0.0
chestLevel,    -0.6699,  1.1744,  1.0348,  -2.0,  1.571,  -1.2       ,   0.0
headLevelForward,    -0.8547,  0.9157,  0.887,  -2.3561,  3,  0.0346 ,   0.0
headLevelBack,    -0.8547,  0.8788,  0.6,  -2.3561,  0,  0.0346      ,   0.0
View Front/Low, -0.56,  1.25,  2.14, -0.25,  0.98,   0.24            ,   0.0
View Back/Low, 0.56,  1.25,  2.14, -0.25,  1.18,   0.44              ,   0.0
View Front/High, 0.79, 0.75, 1.49, -2.23,  0.51,  0.0                ,   0.0
View Back/High, 0.56,  1.45,  0.0, -2.0,  -0.68,   -1.00             ,   0.0
View Far Side, -0.56,  1.25,  1.75, -1.5,  0.98,   0.24              ,   0.0
View Debris,   0.00,  0.00,  1.57, -1.57, 0.00,   0.00               ,   0.0
View Valve, -0.90,   0.23,  1.5,  -2.0,  1.55,  0.44                 ,   0.0
