left_arm, l_arm_shz,l_arm_shx,l_arm_ely,l_arm_elx,l_arm_wry,l_arm_wrx,l_arm_wry2
indices, 16, 17, 18, 19, 20, 21, 22
Sides,       0.7,  -1.2,   2.0,   0.7,   0.0,   0.0   ,   0.0
Out,         0.0,   0.0,   0.0,   0.0,   0.0,   0.0   ,   0.0
FrontLeft,   0.0,   0.0,   1.57,  1.57,  1.57,  0.0   ,   0.0
FrontDown,   0.0,  -1.3,   2.11,  1.05,  2.77,  0.0   ,   0.0
FrontRight, -1.4,  -0.36,  2.14,  1.08,  1.57,  0.0   ,   0.0
FrontRoll,  -1.4,  -0.36,  2.14,  1.08,  0.08,  0.0   ,   0.0
Straight,   -1.49, -0.49,  2.0,   0.1,   1.57,  0.0   ,   0.0
Ready,       0.78, -0.8,   2.0,   2.0,   0.0,   0.6   ,   0.0
Ready2,      0.78, -1.2,   2.0,   2.3,   1.57,  0.0   ,   0.0
Ready3,      0.67, -0.31,  1.48,  2.3,   0.30,  0.87  ,   0.0
Set,         0.0,  -0.8,   1.7,   2.0,   0.0,   0.8   ,   0.0
View Hand,  -1.16, -0.47,  2.0,   1.0,  -0.4,   1.07  ,   0.0
Tool Grasp, -0.67, -1.39,  1.29,  1.53,  0.05,  1.15  ,   0.0
Tool Grasp2,-0.95, -0.59,  2.09,  1.03,  0.05,  1.15  ,   0.0
Pre-Handle,  0.43, -0.96,  2.01,  1.94,  2.71, -0.13  ,   0.0
hook-roll,   0.0,  -1.3,   2.11,  1.05,  1.57, -0.13  ,   0.0
hook-open,   0.0,  -1.3,   2.11,  1.05,  1.57,  0.30  ,   0.0
Push_1,      0.17, -1.22,  2.04,  1.12,  2.78, -0.78  ,   0.0
