left_arm,  l_arm_shz,l_arm_shx,l_arm_ely,l_arm_elx,l_arm_wry,l_arm_wrx,l_arm_wry2
indices, 16, 17, 18, 19, 20, 21, 22
Stand,      -0.25, -1.34,  1.88,  0.49,  0.0,    0.0  ,   0.0
Sides,       0.72, -0.95,  2.7,   0.95,  0.0,   -0.4  ,  -0.5
Out,         0.0,   0.0,   0.0,   0.0,   0.0,    0.0  ,   0.0
pre_valve,  -0.60, -1.45,  1.56,  2.0,   1.76,   1.0  ,  -2.15
cut_wall_2, -0.32, -0.9,   2.2,   1.3,   0.5,    1.0  ,  -1.8
cut_wall_3, -0.45, -1.0,   2.1,   1.3,   0.5,    0.8  ,  -0.8
push_door_1,-0.5,  -0.7,   1.6,   1.6,   0.6,    1.0  ,   0.0
push_door_2,-1.2,  -0.7,   0.9,   1.0,   0.8,   -0.4  ,   0.0
pre_drive,   0.76, -0.94,  0.8,   2.0,   1.0,   -0.2  ,  -1.35
drive,       0.11, -0.16,  1.75,  1.6,   1.0,   -0.9  ,  -1.0
calibrate,  -1.0,   0.28,  1.2,   1.6,   0.3,    0.5  ,   0.0
CarEntry,    0.2,  -1.5,   0.0,   1.72,  0.0,    0.0  ,   0.0
CarEntryFore,0.2,  -1.5,   0.0,   1.72,  0.0,   -1.57 ,   0.0
CarCalibrate,0.27,  0.0,   0.5,   1.28, -1.35,   0.0  ,   0.0
