right_arm, r_arm_shz,r_arm_shx,r_arm_ely,r_arm_elx,r_arm_wry,r_arm_wrx,r_arm_wry2
indices, 23, 24, 25, 26, 27, 28, 29
Stand,       0.25,  1.34,  1.88, -0.49,  0.0,    0.0  ,   0.0
Sides,      -0.72,  0.95,  2.7,  -0.95,  0.0,    0.4  ,  -0.5
Out,         0.0,   0.0,   0.0,   0.0,   0.0,    0.0  ,   0.0
cut_wall_1,  0.0,   0.37,  2.65, -1.4,  -0.2,   -0.9  ,  -1.54
cut_wall_2,  0.32,  0.9,   2.2,  -1.3,   0.5,   -1.0  ,  -1.8
cut_wall_3,  0.45,  1.0,   2.1,  -1.3,   0.5,   -0.8  ,  -0.8
push_door_1, 0.5,   0.7,   1.6,  -1.6,   0.6,   -1.0  ,   0.0
push_door_2, 1.2,   0.7,   0.9,  -1.0,   0.8,    0.4  ,   0.0
push_door_3, 0.0,   0.5,   0.89, -1.1,   0.8,    0.5  ,   0.7
calibrate,   1.0,  -0.28,  1.2,  -1.6,   0.3,   -0.5  ,   0.0
CarEntry,    0.0,   1.5,   0.0,  -1.72,  0.0,    0.0  ,   0.0
CarEntryFore,0.0,   1.5,   0.0,  -1.72,  0.0,    1.57 ,   0.0
CarCalibrate,0.0,   0.0,   0.0,  -0.21,  0.0,    0.25 ,   0.0
CarCamera,   0.9,   0.17,  0.5,  -1.58, -0.7,    1.5  ,  -0.34
