right_arm, r_arm_shz,r_arm_shx,r_arm_ely,r_arm_elx,r_arm_wry,r_arm_wrx,r_arm_wry2
indices, 23, 24, 25, 26, 27, 28, 29
Sides,      0.7,   1.2,   2.0,  -0.7,   0.0,    0.0  ,   0.0
Out,        0.0,   0.0,   0.0,   0.0,   0.0,    0.0  ,   0.0
FrontRight, 0.0,   0.0,   1.57, -1.57,  1.57,    0.0 ,   0.0
FrontDown,  0.0,   1.3,   2.11, -1.05,  2.77,   0.0  ,   0.0
FrontLeft, -1.4,   0.36,  2.14, -1.08,  1.57,   0.0  ,   0.0
Straight,  -1.49,  0.49,  2.0,  -0.1,   1.57,    0.0 ,   0.0
Ready,      0.78,   0.8,   2.0,  -2.0,   0.0,   -0.6 ,   0.0
Set,        0.0,   0.8,   1.7,  -2.0,   0.0,   -0.8  ,   0.0
High Sides, 0.0,   0.2,   3.0,  -2.10,  0.0,    0.8  ,   0.0
Back,       0.78,   0.8,   2.0,  -0.7,   1.40,  -0.5 ,   0.0
Pass,      -1.38,  0.28,  2.32, -1.15, -0.01,  -1.42 ,   0.0
