left_arm, l_arm_shz,l_arm_shx,l_arm_ely,l_arm_elx,l_arm_wry,l_arm_wrx,l_arm_wry2
indices, 16, 17, 18, 19, 20, 21, 22
Sides,       0.7,  -1.2,   2.0,   0.7,   0.0,   0.0  ,   0.0
Out,         0.0,   0.0,   0.0,   0.0,   0.0,   0.0  ,   0.0
FrontLeft,   0.0,   0.0,   1.57,  1.57,  1.57,  0.0  ,   0.0
Ready,       0.78, -0.8,   2.0,   2.0,   0.0,   0.6  ,   0.0
Ready2,      0.78, -1.2,   2.0,   2.3,   1.57,  0.0  ,   0.0
Ready3,      0.67, -0.31,  1.48,  2.3,   0.30,  0.87 ,   0.0
Set,         0.0,  -0.8,   1.7,   2.0,   0.0,   0.8  ,   0.0
View Hand,  -1.16, -0.47,  2.0,   1.0,  -0.4,   1.07 ,   0.0
Tool Grasp, -0.67, -1.39,  1.29,  1.53,  0.05,  1.15 ,   0.0
Tool Grasp2,-0.95, -0.59,  2.09,  1.03,  0.05,  1.15 ,   0.0
drill_0,     0.13, -0.46,  1.90,  2.33,  0.50, -0.02 ,   0.0
drill_1,    -0.36,  0.32,  2.18,  2.02,  0.43, -0.30 ,   0.0
drill_2,    -0.69, -1.17,  2.06,  1.24,  0.77, -0.39 ,   0.0
drill_3,    -0.14, -0.97,  1.53,  1.19,  0.98, -0.22 ,   0.0
drill_4,    -0.19, -0.43,  1.70,  1.64,  0.31, -0.70 ,   0.0
